"JLCPCB BOM Tool - BOM Matching","","","","","","","","","","","","","","","","",""
"BOM name：production_bom-JLCPCB Assembly Order.xlsx","","","Download Time：2026-06-21 03:50:59","","","","* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.","","","","","","","","","",""
"PCB Assembled Qty：5","","","Est. Total Price：83.5555","","","","","","","","","","","","","",""
"Your BOM","","","","","Matched Parts","","","","","","","Order Information","","","","",""
"Top Designator","Bottom Designator","Comment","Footprint","JLCPCB Part #","Matches","Part # ","Manufacturer","Footprint","Description","Category","Warning","JLCPCB Part #","Product link","Lib Type","Qty","Source","Total Price ($)"
"C10,C11,C12,C13,C14,C17,C21,C24,C27,C29,C36,C37,C38,C39,C40,C41,C42,C6,C7,C8,C9","","100nF","0201","","Select by Customer","GRM033R61E104KE14D","Murata Electronics","0201","100nF 25V X5R ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C76939","https://jlcpcb.com/partdetail/MurataElectronics-GRM033R61E104KE14D/C76939","Extended","54","54 JLCPCB","0.6102"
"C15,C16,C2,C3","","22uF","0805","","Select by System","CL21A226MAQNNNE","Samsung Electro-Mechanics","0805","22uF 25V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C45783","https://jlcpcb.com/partdetail/46786-CL21A226MAQNNNE/C45783","Basic","16","16 JLCPCB","1.8784"
"C18,C19","","22pF","0201","","Select by Customer","GRM0335C1H220JA01D","Murata Electronics","0201","22pF 50V C0G ±5% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C76924","https://jlcpcb.com/partdetail/MurataElectronics-GRM0335C1H220JA01D/C76924","Extended","20","20 JLCPCB","0.066"
"C20,C22,C26,C4,C45,C46,C47,C5","","1uF","0402","","Select by System","CL05A105KA5NQNC","Samsung Electro-Mechanics","0402","1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C52923","https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923","Basic","26","26 JLCPCB","0.4056"
"C30,C31","","18pF","0201","","Select by System","0201CG180J500NT","FH (Guangdong Fenghua Advanced Tech)","0201","18pF 50V C0G ±5% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C62164","https://jlcpcb.com/partdetail/63221-0201CG180J500NT/C62164","Extended","20","20 JLCPCB","0.028"
"C34,C35","","2.2uF","0402","","Select by Customer","GRM155R61E225ME15D","Murata Electronics","0402","2.2uF 25V X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C72203","https://jlcpcb.com/partdetail/MurataElectronics-GRM155R61E225ME15D/C72203","Extended","8","8 JLCPCB","0.3792"
"C48","","10uF","0805","","Select by System","GRM21BR61H106KE43L","Murata Electronics","0805","10uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","","C440198","https://jlcpcb.com/partdetail/439567-GRM21BR61H106KE43L/C440198","Basic","5","5 JLCPCB","1.053"
"D1,D2,D3,D4","","LED","0402","","Select by Customer","XL-1005UGC","XINGLIGHT","0402","-40℃~+85℃ 120° 249mcd 25mA 3V 516nm~531nm 531nm 80mW Discrete Diode Emerald Green Top-mount Water Clear 0402 LED Indication - Discrete ROHS","LED Indication - Discrete","1.The comment (XL-1005UGC) of this part does not match the one (LED) provided in your BOM. Please confirm;","C965793","https://jlcpcb.com/partdetail/XINGLIGHT-XL1005UGC/C965793","Extended","20","20 JLCPCB","0.16"
"L1","","FCM1608KF-601T03","L0603","","Select by System","FCM1608KF-601T03","TAI-TECH","0603","-55℃~+125℃ 1 350mA 500mΩ 600Ω@100MHz ±25% 0603 Ferrite Beads ROHS","Ferrite Beads","","C141723","https://jlcpcb.com/partdetail/TAITECH-FCM1608KF601T03/C141723","Extended","20","20 JLCPCB","0.202"
"R5","","1.37K","0201","","Select by Customer","RTT011371FTH","RALEC","0201","-55℃~+125℃ 1.37kΩ 25V 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (RTT011371FTH) of this part does not match the one (1.37K) provided in your BOM. Please confirm;","C166356","https://jlcpcb.com/partdetail/RALEC-RTT011371FTH/C166356","Extended","20","20 JLCPCB","0.028"
"R6,R7,R8,R9","","500","0201","","Select by Customer","RC0201FR-07499RL","YAGEO","0201","-55℃~+125℃ 25V 499Ω 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (RC0201FR-07499RL) of this part does not match the one (500) provided in your BOM. Please confirm;","C138137","https://jlcpcb.com/partdetail/YAGEO-RC0201FR07499RL/C138137","Extended","20","20 JLCPCB","0.022"
"R10,R11","","75","0201","","Select by Customer","AC0201FR-0775RL","YAGEO","0201","-55℃~+155℃ 25V 50mW 75Ω Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (AC0201FR-0775RL) of this part does not match the one (75) provided in your BOM. Please confirm;","C226616","https://jlcpcb.com/partdetail/YAGEO-AC0201FR0775RL/C226616","Extended","20","20 JLCPCB","0.04"
"R12,R22","","100K","0201","","Select by Customer","RTT011003FTH","RALEC","0201","-55℃~+125℃ 100kΩ 25V 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (RTT011003FTH) of this part does not match the one (100K) provided in your BOM. Please confirm;","C102685","https://jlcpcb.com/partdetail/RALEC-RTT011003FTH/C102685","Extended","20","20 JLCPCB","0.02"
"R13,R14,R15","","1K","0201","","Select by Customer","RC0201FR-071KL","YAGEO","0201","-55℃~+125℃ 1kΩ 25V 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (RC0201FR-071KL) of this part does not match the one (1K) provided in your BOM. Please confirm;","C138165","https://jlcpcb.com/partdetail/YAGEO-RC0201FR071KL/C138165","Extended","20","20 JLCPCB","0.022"
"R17,R18,R19,R20,R4","","10K","0201","","Select by Customer","RC0201JR-0710KL","YAGEO","0201","-55℃~+125℃ 10kΩ 25V 50mW Thick Film Resistor ±200ppm/℃ ±5% 0201 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (RC0201JR-0710KL) of this part does not match the one (10K) provided in your BOM. Please confirm;","C138117","https://jlcpcb.com/partdetail/YAGEO-RC0201JR0710KL/C138117","Extended","20","20 JLCPCB","0.02"
"R21,R23","","47K","0201","","Select by Customer","RC0201FR-0747KL","YAGEO","0201","-55℃~+125℃ 25V 47kΩ 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (RC0201FR-0747KL) of this part does not match the one (47K) provided in your BOM. Please confirm;","C138139","https://jlcpcb.com/partdetail/YAGEO-RC0201FR0747KL/C138139","Extended","20","20 JLCPCB","0.022"
"SW2","","TS24CA","SW-SMD_2P-TS24CA","","Select by System","TS24CA","SHOU HAN","SMD,4.6x1.8mm","-20℃~+70℃ 1.6N 1.9mm 12V 20,000 cycles 3.5mm 4.7mm 50mA Black No Rectangular Button SMD(SMT) Tab SPST Surface Mount, Right Angle Without Bracket SMD,4.6x1.8mm Tactile Switches ROHS","Tactile Switches","","C393942","https://jlcpcb.com/partdetail/SHOUHAN-TS24CA/C393942","Extended","7","7 JLCPCB","0.175"
"U1","","BMP280","LGA-8_L2.5-W2.0-P0.65_AMP6127","","Select by System","BMP280","Bosch Sensortec","LGA-8(2x2.5)","-40℃~+85℃ 0.12hpa 1.5pa/K 1.71V~3.6V 1hpa 300nA 30Kpa~1.1bar I2C、SPI LGA-8(2x2.5) Pressure Sensors ROHS","Pressure Sensors","","C83291","https://jlcpcb.com/partdetail/BoschSensortec-BMP280/C83291","Extended","2","2 JLCPCB","13.7058"
"U2","","ICM-42688-P","LGA-14_L3.0-W2.5-P0.50-TL","","Select by System","ICM-42688-P","TDK InvenSense","LGA-14(2.5x3)","-40℃~+85℃ 1.71V~3.6V 16bit 2KB 7.5uA IMU (accelerometer + gyroscope) SPI、I2C X,Y,Z X,Y,Z ±16g ±2000dps Motion Event Detection, Synchronization, Timestamp Support LGA-14(2.5x3) Accelerometers ROHS","Accelerometers","","C1850418","https://jlcpcb.com/partdetail/TDKInvenSense-ICM_42688P/C1850418","Extended","2","2 JLCPCB","28.359"
"U3,U8","","LP5912-3.3DRVR","WSON-6_L2.0-W2.0-P0.65-TL-EP","","Select by System","LP5912-3.3DRVR","Texas Instruments","WSON-6-EP(2x2)","-40℃~+125℃@(Tj) 1 12uVrms 180mV@(500mA) 3.3V 30uA 500mA 6.5V 75dB@(1kHz) Fixed Over Temperature Protection、Reverse connection protection、Soft Start、Short Circuit Protection Positive WSON-6-EP(2x2) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators","","C524780","https://jlcpcb.com/partdetail/TexasInstruments-LP5912_33DRVR/C524780","Extended","4","4 JLCPCB","3.068"
"U4","","STM32F405RGT6TR","LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL","","Select by System","STM32F405RGT6TR","STMicroelectronics","LQFP-64_10x10","-40℃~+85℃ 1.8V~3.6V 12bit 12bit 168MHz 192KB 1MB 32 Bit 51 ARM Cortex-M4 Built-in FLASH LQFP-64(10x10) Microcontrollers (MCU/MPU/SOC) ROHS","Microcontrollers (MCU/MPU/SOC)","","C2054141","https://jlcpcb.com/partdetail/STMicroelectronics-STM32F405RGT6TR/C2054141","Extended","2","2 JLCPCB","10.654"
"U5","","TPSM84209RKHT","QFN-9_L4.4-W4.0-P0.85-YTL","","Select by System","TPSM84209RKHT","Texas Instruments","QFN-9(4x4.4)","-40℃~+85℃ 1 1.2V~6V 2.5A 4.5V~28V 750kHz Adjustable Buck Buck Built-in QFN-9(4x4.4) DC-DC Converters ROHS","DC-DC Converters","","C2836944","https://jlcpcb.com/partdetail/TexasInstruments-TPSM84209RKHT/C2836944","Extended","2","2 JLCPCB","7.8472"
"U6","","AT7456E","TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP-2","","Select by System","AT7456E","ZHONGKEWEI","TSSOP-28-EP","TSSOP-28-EP Microcontrollers (MCU/MPU/SOC) ROHS","Microcontrollers (MCU/MPU/SOC)","","C82351","https://jlcpcb.com/partdetail/ZHONGKEWEI-AT7456E/C82351","Extended","2","2 JLCPCB","5.8588"
