Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C17, C21, C24, C27, C29, C36, C37, C38, C39, C40, C41, C42, C6, C7, C8, C9",0201,21,100nF,
"C15, C16, C2, C3",0805,4,22uF,
"C18, C19",0201,2,22pF,
"C20, C22, C26, C4, C45, C46, C47, C5",0402,8,1uF,
"C30, C31",0201,2,18pF,
"C34, C35",0402,2,2.2uF,
C48,0805,1,10uF,
"D1, D2, D3, D4",0402,4,LED,
"J1, J10, J9",PinHeader_1x02_P1.00mm_Vertical,3,Conn_01x02,
"J11, J7",PinHeader_1x04_P1.00mm_Vertical,2,Conn_01x04,
J2,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08,
"J3, J5",PinHeader_1x06_P1.00mm_Vertical,2,Conn_01x06,
J8,PinHeader_1x03_P1.00mm_Vertical,1,Conn_01x03,
L1,L0603,1,FCM1608KF-601T03,C141723
"R10, R11",0201,2,75,
"R12, R22",0201,2,100K,
"R13, R14, R15",0201,3,1K,
"R17, R18, R19, R20, R4",0201,5,10K,
"R21, R23",0201,2,47K,
R5,0201,1,1.37K,
"R6, R7, R8, R9",0201,4,500,
SW2,SW-SMD_2P-TS24CA,1,TS24CA,C393942
U1,LGA-8_L2.5-W2.0-P0.65_AMP6127,1,BMP280,C83291
U2,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-42688-P,C1850418
"U3, U8",WSON-6_L2.0-W2.0-P0.65-TL-EP,2,LP5912-3.3DRVR,C524780
U4,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,STM32F405RGT6TR,C2054141
U5,QFN-9_L4.4-W4.0-P0.85-YTL,1,TPSM84209RKHT,C2836944
U6,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP-2,1,AT7456E,C82351
U7,WSON-8_L6.0-W5.0-P1.27-BL-EP,1,W25Q128JVPIQ,C190862
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL-1,1,X322527MSB4SI,C9008
X3,CRYSTAL-SMD_4P-L3.2-W2.5-BL-1,1,DSX321G 8MHz,C57131
