Designator,Mid X,Mid Y,Rotation,Layer
C10,157.76,-96.88,270.0,top
C11,178.05,-95.3,270.0,top
C12,172.42,-89.85,0.0,top
C13,148.56,-93.7,180.0,top
C14,148.56,-91.2,0.0,top
C15,147.06,-95.5,180.0,top
C16,147.06,-97.5,0.0,top
C17,148.56,-92.1,180.0,top
C18,160.98,-91.28,0.0,top
C19,158.56,-95.68,180.0,top
C2,179.3,-93.0,0.0,top
C20,169.8055,-95.1055,0.0,top
C21,169.6055,-94.1055,180.0,top
C22,167.6255,-92.5055,0.0,top
C24,166.3,-101.5,90.0,top
C26,151.549,-78.22,90.0,top
C27,152.949,-79.4,0.0,top
C29,177.2,-77.705,270.0,top
C3,180.25,-95.2,180.0,top
C30,158.1,-71.25,270.0,top
C31,152.692929,-73.05,90.0,top
C34,160.3,-86.0,180.0,top
C35,171.78,-81.1,180.0,top
C36,162.12,-86.4,180.0,top
C37,166.345,-70.6,180.0,top
C38,171.345,-79.2,180.0,top
C39,156.1,-81.4,0.0,top
C4,172.62,-90.85,180.0,top
C40,163.1,-70.8,180.0,top
C41,153.792929,-74.7,270.0,top
C42,157.2,-101.5,90.0,top
C45,163.18,-69.8,180.0,top
C46,166.58,-69.6,180.0,top
C47,152.692929,-74.78,270.0,top
C48,163.7,-68.2,180.0,top
C5,176.82,-89.25,270.0,top
C6,169.0105,-91.4605,270.0,top
C7,165.9105,-92.2055,0.0,top
C8,169.565,-98.55,180.0,top
C9,169.61,-99.95,0.0,top
D1,155.235,-69.25,180.0,top
D2,153.815,-68.0,0.0,top
D3,159.065,-69.1,0.0,top
D4,159.315,-68.0,0.0,top
J1,179.65,-97.8,180.0,top
J10,172.6,-83.0,90.0,top
J11,142.6,-96.0,180.0,top
J2,161.7,-105.6,180.0,top
J3,171.2,-68.1,270.0,top
J5,151.8,-105.2,0.0,top
J7,175.5,-79.4,180.0,top
J8,142.6,-91.4,180.0,top
J9,142.6,-87.8,0.0,top
L1,155.81,-74.88,0.0,top
R10,144.56,-95.5,0.0,top
R11,148.56,-92.9,0.0,top
R12,165.4,-101.5,90.0,top
R13,148.605,-89.5,0.0,top
R14,148.585,-88.6,0.0,top
R15,158.06,-89.1,180.0,top
R17,152.649,-80.6,90.0,top
R18,144.049,-83.0,90.0,top
R19,158.38,-85.2,0.0,top
R20,158.5,-86.1,180.0,top
R21,164.5,-101.52,270.0,top
R22,158.1,-101.5,90.0,top
R23,159.0,-101.5,270.0,top
R4,177.75,-91.5,180.0,top
R5,177.75,-90.6,0.0,top
R6,153.46,-69.2,0.0,top
R7,155.645,-67.98,0.0,top
R8,160.84,-69.0,0.0,top
R9,161.09,-67.9,0.0,top
SW2,179.48,-79.4,270.0,top
U1,171.62,-99.58,0.0,top
U2,166.8105,-90.2055,0.0,top
U3,174.75,-89.1,180.0,top
U4,163.692929,-78.437358,135.0,top
U5,175.106944,-94.705,270.0,top
U6,153.33,-92.03,0.0,top
U7,148.4,-81.9,270.0,top
U8,167.6255,-94.6055,270.0,top
X1,159.66,-93.48,180.0,top
X3,155.567929,-72.125,180.0,top
